iter	Passed	Remaining
568	51664	20974
569	51801	20902
570	51891	20811
571	51985	20721
572	52078	20631
573	52170	20540
574	52264	20451
575	52347	20357
576	52428	20262
577	52527	20174
578	52606	20079
579	52688	19985
580	52768	19890
581	52849	19795
582	52925	19699
583	53009	19606
584	53088	19511
585	53168	19416
586	53235	19317
587	53305	19218
588	53379	19122
589	53467	19030
590	53547	18936
591	53607	18835
592	53677	18737
593	53763	18645
594	53826	18545
595	53892	18446
596	53976	18353
597	54073	18265
598	54187	18183
599	54292	18097
600	54381	18006
601	54497	17924
602	54556	17823
603	54634	17728
604	54731	17640
605	54827	17552
606	54920	17462
607	55014	17372
608	55133	17291
609	55230	17203
610	55337	17117
611	55431	17028
612	55530	16939
613	55618	16848
614	55705	16756
615	55791	16665
616	55869	16570
617	55948	16476
618	56039	16386
619	56132	16296
620	56236	16209
621	56343	16124
622	56465	16042
623	56572	15956
624	56668	15867
625	56754	15775
626	56833	15681
627	56928	15591
628	57018	15500
629	57119	15413
630	57224	15326
631	57310	15234
632	57378	15137
633	57442	15040
634	57520	14946
635	57613	14856
636	57711	14767
637	57815	14680
638	57911	14591
639	58005	14501
640	58094	14410
641	58184	14319
642	58271	14227
643	58372	14139
644	58469	14050
645	58540	13955
646	58640	13867
647	58733	13777
648	58814	13684
649	58911	13594
650	59014	13507
651	59101	13415
652	59206	13328
653	59306	13239
654	59432	13156
655	59530	13067
656	59655	12984
657	59778	12900
658	59890	12814
659	59973	12721
660	60060	12629
661	60140	12536
662	60212	12442
663	60311	12352
664	60375	12256
665	60455	12163
666	60525	12068
667	60606	11976
668	60696	11885
669	60786	11794
670	60887	11705
671	60987	11616
672	61075	11525
673	61175	11436
674	61279	11348
675	61366	11256
676	61456	11165
677	61550	11075
678	61653	10986
679	61741	10895
680	61837	10805
681	61914	10712
682	62010	10622
683	62111	10533
684	62200	10442
685	62294	10352
686	62390	10262
687	62486	10172
688	62575	10081
689	62662	9989
690	62728	9894
691	62808	9802
692	62909	9713
693	63006	9623
694	63099	9532
695	63187	9441
696	63290	9352
697	63380	9261
698	63469	9170
699	63558	9079
700	63649	8988
701	63738	8897
702	63833	8807
703	63929	8717
704	64024	8627
705	64120	8537
706	64211	8446
707	64304	8355
708	64395	8265
709	64487	8174
710	64578	8083
711	64676	7993
712	64767	7902
713	64835	7809
714	64899	7715
715	64963	7621
716	65081	7533
717	65204	7446
718	65295	7355
719	65368	7263
720	65490	7175
721	65582	7085
722	65680	6994
723	65773	6904
724	65870	6814
725	65956	6722
726	66050	6632
727	66136	6540
728	66236	6451
729	66372	6364
730	66464	6273
731	66595	6186
732	66678	6094
733	66752	6002
734	66867	5913
735	66946	5821
736	67036	5730
737	67137	5640
738	67229	5549
739	67334	5459
740	67434	5369
741	67521	5277
742	67615	5187
743	67713	5096
744	67809	5006
745	67885	4913
746	67976	4822
747	68041	4730
748	68146	4640
749	68236	4549
750	68324	4457
751	68407	4366
752	68502	4275
753	68594	4184
754	68696	4094
755	68786	4003
756	68874	3912
757	68968	3821
758	69072	3731
759	69163	3640
760	69262	3549
761	69351	3458
762	69439	3367
763	69528	3276
764	69617	3185
765	69706	3094
766	69806	3003
767	69899	2912
768	69993	2821
769	70086	2730
770	70185	2639
771	70275	2548
772	70358	2457
773	70438	2366
774	70593	2277
775	70711	2186
776	70807	2095
777	70905	2005
778	71006	1914
779	71087	1822
780	71172	1731
781	71269	1640
782	71364	1549
783	71469	1458
784	71566	1367
785	71673	1276
786	71774	1185
787	71877	1094
788	71974	1003
789	72063	912
790	72123	820
791	72202	729
792	72299	638
793	72391	547
794	72483	455
795	72573	364
796	72665	273
797	72757	182
798	72851	91
799	72956	0
